id,name,is closed,rating,review count,categories,address,coordinates,transaction types,price level,Categories_merged,Latitude,Longitude,Address_mod,Zipcode,Delivery,Pickup,Reservation,Rating_stndized,Review count_stndized
zZIWHmITwqaC8OhnPkjEIQ,"Snooze, an A.M. Eatery",False,4.0,1085,Breakfast & Brunch,"['3800 North Lamar Blvd', 'Ste 120', 'Austin, TX 78756']","{'latitude': 30.305594596651783, 'longitude': -97.74348655460886}",['delivery'],$,American,30.305594596651783,-97.74348655460886,"'3800 North Lamar Blvd', 'Ste 120', 'Austin, TX 78756'",78756,1,0,0,-0.216633048725356,1.1056345285528135
zYrDt8Jj3n39c0mAv-4qRg,Sabor a Honduras,False,4.0,51,Honduran,"['2538 Elmont Dr', 'Austin, TX 78741']","{'latitude': 30.2392468046738, 'longitude': -97.7196483165448}",['delivery'],$$,Mexican/South American,30.2392468046738,-97.7196483165448,"'2538 Elmont Dr', 'Austin, TX 78741'",78741,1,0,0,-0.216633048725356,-0.5942956844418039
zMdslB08XbNWU3S8z8fWXw,Curra’s Hyde Park,False,4.0,32,Mexican,"['4215 Duval St', 'Austin, TX 78751']","{'latitude': 30.30437, 'longitude': -97.72601}","['pickup', 'delivery']",$$$,Mexican/South American,30.30437,-97.72601,"'4215 Duval St', 'Austin, TX 78751'",78751,1,1,0,-0.216633048725356,-0.625532313113852
zM98ZSIJyuBQabyYornLpw,Casa Chapala Mexican Cuisine & Tequila Bar,False,4.0,687,Mexican,"['9041 Research Blvd', 'Ste 100', 'Austin, TX 78758']","{'latitude': 30.3736838, 'longitude': -97.7254355}","['delivery', 'pickup']",$$,Mexican/South American,30.3736838,-97.7254355,"'9041 Research Blvd', 'Ste 100', 'Austin, TX 78758'",78758,1,1,0,-0.216633048725356,0.45130935952780604
zJwSlQDSFzfPmcHJrXxX_A,Nosh & Bevvy,False,4.0,120,Gastropubs,"['8440 Burnet Rd', 'Austin, TX 78757']","{'latitude': 30.3654772101226, 'longitude': -97.7288885435165}",['delivery'],$$$,Bars/Pubs,30.3654772101226,-97.7288885435165,"'8440 Burnet Rd', 'Austin, TX 78757'",78757,1,0,0,-0.216633048725356,-0.4808574013696293
zJDdR9gWwp32dAcLt-zsJA,Taste Of Home Handmade Dumplings,False,4.0,31,Dim Sum,"['10901 N Lamar Blvd', 'Ste B-203', 'Austin, TX 78753']","{'latitude': 30.377710926060576, 'longitude': -97.687794752419}",[],$$$,Asian,30.377710926060576,-97.687794752419,"'10901 N Lamar Blvd', 'Ste B-203', 'Austin, TX 78753'",78753,0,0,0,-0.216633048725356,-0.6271763462018546
zFaHweOJ40jjtvpGTjlspw,Uchi,False,4.5,2734,Sushi Bars,"['801 South Lamar Blvd', 'Austin, TX 78704']","{'latitude': 30.257515, 'longitude': -97.759806}",['delivery'],$$,Asian,30.257515,-97.759806,"'801 South Lamar Blvd', 'Austin, TX 78704'",78704,1,0,0,0.8936113259920925,3.8166450906689877
zE0EGIsOdAO83xE3CypN-A,Chez Zee American Bistro,False,3.5,1011,Desserts,"['5406 Balcones Dr', 'Austin, TX 78731']","{'latitude': 30.3367272, 'longitude': -97.7579259}","['pickup', 'delivery']",$$,Cafes/Juice bars/Desserts,30.3367272,-97.7579259,"'5406 Balcones Dr', 'Austin, TX 78731'",78731,1,1,0,-1.3268774234428045,0.9839760800406263
zDVjN3dC9EfQno21m3O8Pg,Stiles Switch BBQ & Brew,False,4.0,1830,Barbeque,"['6610 N Lamar Blvd', 'Austin, TX 78757']","{'latitude': 30.33432, 'longitude': -97.7215}","['pickup', 'delivery']",$$,American,30.33432,-97.7215,"'6610 N Lamar Blvd', 'Austin, TX 78757'",78757,1,1,0,-0.216633048725356,2.3304391791146997
z4fQL2IHUR4ENonH7A_9tQ,Fonda San Miguel,False,4.0,1033,Mexican,"['2330 W North Loop Blvd', 'Austin, TX 78756']","{'latitude': 30.32545, 'longitude': -97.7435}",['delivery'],$,Mexican/South American,30.32545,-97.7435,"'2330 W North Loop Blvd', 'Austin, TX 78756'",78756,1,0,0,-0.216633048725356,1.020144807976682
