id,name,rating,price level
zba2el259hSPPeXzOIn-JA,Queen and King Cafe,5.0,$$
zZIWHmITwqaC8OhnPkjEIQ,"Snooze, an A.M. Eatery",4.0,$$$
zYrDt8Jj3n39c0mAv-4qRg,Sabor a Honduras,4.0,$
zMdslB08XbNWU3S8z8fWXw,Curra’s Hyde Park,4.0,$$
zM98ZSIJyuBQabyYornLpw,Casa Chapala Mexican Cuisine & Tequila Bar,4.0, 
zLJW_Bss7xzV0zqso85ztg,Taco Break,4.5,$
zJwSlQDSFzfPmcHJrXxX_A,Nosh & Bevvy,4.0, 
zJDdR9gWwp32dAcLt-zsJA,Taste Of Home Handmade Dumplings,4.0,$$
zFaHweOJ40jjtvpGTjlspw,Uchi,4.5,$
zE0EGIsOdAO83xE3CypN-A,Chez Zee American Bistro,3.5, 
zDVjN3dC9EfQno21m3O8Pg,Stiles Switch BBQ & Brew,4.0,$$
z4fQL2IHUR4ENonH7A_9tQ,Fonda San Miguel,4.0,$$
z3JW-nsdfC8ijst_PSeMIA,The Tavern,3.5,$$
z1gHWH13NqxfL893O5PfwA,Cypress Grill,4.0,$$
yrMcWGdGXwJdZlJmY83xyQ,Picnik South Lamar,4.0,$$
yrHMqDwZf9iu3xLS11DK5A,The Omelettry,3.5, 
yqL1P6wcSZYQAgpO3TfhBQ,Kemuri Tatsu-ya,4.0,$$
ypBAEDpk79hOOX1GGNP5wg,Honest Mary's,4.0,$$
ynulZGp0xjv1LMufQEigbw,TRACE Restaurant,3.5,$$
ylO2a6TC80g-na_fAgJ90w,Austin's Habibi,4.0,$$
yh1B8RQquWU4D4fUGAeYuw,Tacodeli,4.0, 
yd6dmLkbX1Ycmy3VcDVzng,Cuba 512,4.0,$$
yPpHMQ-QJxEEOor9C5Fl_A,Numero28,4.0,$$
yM7ZbF-hY2r-MO8PMSLB9w,Sushi Junai Omakase,4.5, 
yHhws1HFk4rgX8YhY5-B9g,Taste of Ethiopia,4.5,$$
yH33eQMUlxsM2GDHA7Gmmg,Café No Sé,4.0,$$
yDMfjOwnpKdqMCQUAOB1Kg,Wow Bao,5.0, 
yDH9wE7IPEA_hm-B5c_24w,Raku Sushi and Asian Bistro,3.5, 
y30LbNllcG8f67-UuiVnSw,LaCorsha,3.0, 
y0TYw6j_-91OGXnDVYZ6ew,Dawa Sushi,4.5, 
xyvGNML9BW-3seLMqeYCWA,Colleen's Kitchen,4.0,$$
xwHhz09uHHTuxJiuRbaS6Q,Boteco,4.5,$$
xbXIOpoddfVfkMusuWXkkA,Chi'Lantro BBQ,4.0, 
xbKfPkR7gJk09PJ4nUNWaw,Plant B,2.5, 
xaKMGcoUHJfGKfptfkxqYw,Wok N Express,3.5,$$
x_tD_UygC_nN23QJpni7ww,Hold Out Brewing,4.5, 
xWHycAq_uqpHAdnRj6bQJg,The Chit Chat Chai,5.0, 
xUtzkHhNH3XCISfzH5mTgQ,SOHA,4.5, 
xUdfuTh9kZmdEF_VjRtjfg,Turkey Twist,1.0,$$
xRK4wcQSu5KCVGnLOAYXLw,Next Level Clucker,5.0, 
xPfHLhEDTvpBhJuJSlIZRQ,Gobble Gobble,4.5, 
xFhkWmQZA2RRBiLv0Y_mRA,Paco's Tacos,4.0,$
xFgIiLmJVCKqKX8Ra_ZNQQ,Chi'Lantro,4.0,$
wy1qyf2Sj1MFNQ2KakaDoQ,R&B's Steak and Fries,4.5,$$
wvU_-fiTIwW4GTEj_4I5Hg,Cafe Blue - Downtown,3.5, 
wniQHieUw3zE21BmSoBugg,USTA KABABGY,4.5, 
wlRI4HwoHebrncaSt-aWtg,Bao'd Up - Sunset Valley,4.0,$$
wjzyQScG1gjO-VdcjeEarg,Abo Youssef Mediterraneann Halal,5.0, 
wVFCjnvQT0eQRCaqoJvV1Q,Fowler's Smokin Soul Food,5.0,$$
wTtldqoVcCLUUmmzk0Zqmg,Llama Kid,4.0,$$$
wQ8XK2NJAL2csx_LmZfz4g,Eldorado Cafe,4.5, 
wMgWB_27X6Wl-K1mHokAtw,Ichi-Umi Ramen & Poke,4.0, 
wKQNqpvphl0zGCv9JuIN8Q,J Carver’s,4.5,$$
wHfeQHec8Wu-WA_eF-YOaw,Lou’s - Barton Springs,3.5, 
wHH-CWCKj76FdUPM_coAuA,The backYard at Waller Creek,3.5, 
wGlL-0yFqyo8xaKfEVUbpg,Smokin Banh Mi,4.5,$$
wEjTBa2bJDG5CRiJ5Qdrmw,Central Market Cafe,4.0,$$
wB1qckz9iC0aq5XuWRmCIA,Jewboy Burgers,4.5,$$
wApAjLkqBJ5sehzPovtEyQ,Heo Eatery,4.5,$$
w89ay2pZDTd-3cJsRlx22Q,SquareRüt Kava Bar,4.0,$
vyb9Ud7CT1F2kDtFOuTlVw,Fresa's Chicken al Carbon,3.5,$
vwwG4ZL46BBXeZMdrhi8PQ,Eberly,4.0,$$
vuP0G0T6rGPO-E0FxnbBSw,Seton Medical Center Cafeteria,5.0,$$
vsxNLpgHX5hv0fWAI9XyHA,The Driskill Grill,3.5,$
voHJRgWnFU-Tgl3XzMtzRg,Banh Mi Oven,4.0,$$
vo1MjyIvHbAJ93PasKHIRg,The Grove Wine Bar & Kitchen,4.0,$$
vdfA3cRWZuQRQ9A7qIxHZw,Saffron,4.5, 
vbk3tfiw8dEdKc6vno8h1A,Karla's Kuisine,5.0, 
v_FQkBIJUamTwg7uP704bg,Omg Squee,4.5, 
vRKnv95_ywFZRi0qjQhLnQ,Les Bobos Crepes,5.0,$$
v9PdEbST0SWy06l0SzXU_w,Meat & Bread,5.0,$$
v87I5i4XxiCr9Ihiqkbc4A,The Grove Wine Bar & Kitchen,4.0,$$
v6CQxNa1kek_Rx3pd7lgPw,Quan Co 9,4.0,$
v1UzkU8lEWdjxq8byWFOKg,Gus's World Famous Fried Chicken,4.5,$$
uwFa-pTQL1Rv4nULoIraNw,Ramen Tatsu-Ya,4.0,$$
ut7lib8QBd_bGz0mirq00A,Spicy Boys Fried Chicken - St. Elmo,4.5, 
